key,text,description
ui.account.default_appearance,기본 외형,계정 진입
ui.account.player_ontology_unavailable,플레이어 온톨로지: 사용할 수 없음,계정 진입
ui.account.player_ontology,플레이어 온톨로지: {0} (팩트 {1}개),계정 진입
ui.account.role_owner,소유자,계정 진입
ui.account.role_editor,편집자,계정 진입
ui.account.role_viewer,열람자,계정 진입
ui.account.read_only,읽기 전용,계정 진입
ui.account.no_profile_relations,저장된 프로필 관계 없음,계정 진입
ui.account.no_account_profile_relations,저장된 계정 프로필 관계 없음,계정 진입
ui.account.profile_relation_count,저장된 프로필 관계 {0}개,계정 진입
ui.account.appearance_review,외형 확인,계정 진입
ui.account.appearance_review.prompt,계속하기 전에 캐릭터 외형을 확인하세요.,계정 진입
ui.account.appearance_review.character,캐릭터,계정 진입
ui.account.appearance_review.template,템플릿,계정 진입
ui.account.appearance_review.parts,장착 파츠,계정 진입
ui.account.appearance_review.continue,계속,계정 진입
ui.account.appearance_review.more,장착 파츠 {0}개 더 있음,계정 진입
ui.account.profile_review,프로필 확인,계정 진입
ui.account.profile_final_review.title,프로필 최종 확인,계정 진입
ui.account.profile_final_review.prompt,모험을 시작할 모든 준비가 끝났습니다.,계정 진입
ui.account.profile_final_review.character,캐릭터,계정 진입
ui.account.profile_final_review.template,템플릿,계정 진입
ui.account.profile_final_review.appearance,외형,계정 진입
ui.account.profile_final_review.world,선택한 월드,계정 진입
ui.account.profile_final_review.permission,월드 권한,계정 진입
ui.account.profile_final_review.permission_missing,월드 권한 없음,계정 진입
ui.account.profile_final_review.edit_allowed,월드 편집 가능,계정 진입
ui.account.profile_final_review.relations,프로필 관계,계정 진입
ui.account.profile_final_review.status,상태,계정 진입
ui.account.profile_final_review.ready,입장 준비 완료,계정 진입
ui.account.profile_final_review.enter,월드 입장,계정 진입
ui.account.world_entry_loading.title,월드 입장 중,계정 진입
ui.account.world_entry_loading.preparing,모험을 준비하고 있습니다...,계정 진입
ui.account.world_entry_loading.stage,월드 데이터 불러오는 중,계정 진입
ui.account.world_entry_loading.ready,월드 준비 완료,계정 진입
ui.account.world_entry_loading.failed,월드 입장 실패,계정 진입
ui.account.world_entry_loading.tip_heading,팁,계정 진입
ui.account.world_entry_loading.tip,캐릭터 프로필은 함께 이동하지만 월드 사실은 이 월드에 속합니다.,계정 진입
ui.account.character,캐릭터: {0},계정 진입
ui.account.template,템플릿: {0},계정 진입
ui.account.equipped_parts,장착 파츠: {0},계정 진입
ui.account.world,월드: {0},계정 진입
ui.account.revision,리비전 {0},계정 진입
ui.authority.read_only,열람자 권한: 월드 편집은 읽기 전용입니다.,월드 편집기
ui.quest_panel.title,퀘스트와 행동,플레이어 퀘스트 패널
ui.quest_panel.subtitle,퀘스트를 선택하고 세계에서 행동하세요.,플레이어 퀘스트 패널
ui.quest_panel.empty_quests,진행 중인 퀘스트가 없습니다,플레이어 퀘스트 패널
ui.quest_panel.empty_actions,현재 가능한 행동이 없습니다,플레이어 퀘스트 패널
ui.quest_panel.active_quests,진행 중인 퀘스트,플레이어 퀘스트 패널
ui.quest_panel.available_actions,가능한 행동,플레이어 퀘스트 패널
ui.quest_panel.footer_hint,퀘스트를 선택하거나 가능한 행동을 실행하세요.,플레이어 퀘스트 패널
ui.quest_panel.no_selection,선택한 퀘스트가 없습니다,플레이어 퀘스트 패널
ui.quest_panel.select_prompt,진행 중인 퀘스트를 선택하세요.,플레이어 퀘스트 패널
ui.quest.active,진행 중,플레이어 퀘스트 패널
ui.quest.completed,완료,플레이어 퀘스트 패널
ui.quest.goal_prefix,"퀘스트: ",플레이어 퀘스트 패널
rule_preset.validation.no_object,먼저 월드 오브젝트를 선택하세요.,규칙 블록 검증
rule_preset.validation.unavailable,규칙 설정 데이터를 찾을 수 없습니다.,규칙 블록 검증
rule_preset.validation.requires,"이 규칙에 필요한 정보: {0}",규칙 블록 검증
rule_preset.attachment_setup.title,장착 방식 설정,규칙 블록
rule_preset.attachment_setup.body,"장착 위치를 고르면 필요한 개념과 트리플을 자동으로 준비한 뒤 규칙을 적용합니다.",규칙 블록
rule_preset.attachment_setup.apply,설정 후 적용,규칙 블록
ui.button.add,추가,물리 행동
ui.button.remove,제거,물리 행동
ui.button.details_short,상세,물리 행동
ui.rule_block.quick_action,빠른 설정,규칙 블록
ui.title.rule_block_details,규칙 블록 상세,규칙 블록
rule_preset.water_buoyancy,물에서 부력 적용,규칙 블록
rule_preset.auto_equip,가까이 선택하면 장착,규칙 블록
rule_preset.temporary_skill,장비 스킬 임시 부여,규칙 블록
rule_preset.water_buoyancy.description,이 오브젝트가 물 영역에 들어가면 부력 상태가 적용됩니다.,규칙 블록
rule_preset.auto_equip.description,플레이어가 선택한 뒤 가까이 가면 이 오브젝트를 장착할 수 있습니다.,규칙 블록
rule_preset.temporary_skill.description,장착된 아이템은 연결 규칙 블록이 있는 동안에만 자신이 가진 스킬을 임시로 부여합니다.,규칙 블록
rule_preset.temporary_skill_setup.title,장비 스킬 설정,규칙 블록
rule_preset.temporary_skill_setup.body,이 장비가 제공할 스킬과 스킬을 유지할 규칙 블록을 고르세요. 필요한 트리플을 먼저 만들고 임시 스킬 규칙을 추가합니다.,규칙 블록
rule_preset.temporary_skill_setup.apply,설정 후 적용,규칙 블록
rule_preset.temporary_skill_setup.choose,스킬과 유지 조건을 선택하세요,규칙 블록
rule_preset.temporary_skill_setup.no_choice,적용할 스킬과 유지 조건을 먼저 선택하세요.,규칙 블록
rule_preset.temporary_skill_setup.no_rule,먼저 이 오브젝트에 스킬 유지 조건이 될 규칙 블록을 추가하세요.,규칙 블록
rule_preset.temporary_skill_setup.no_skill,현재 온톨로지 카탈로그에 선택할 수 있는 스킬이 없습니다.,규칙 블록
rule_preset.detail.format,"{0}\n\n이 설정은 현재 배치된 오브젝트에만 적용됩니다.\n\n규칙 블록: {1}\n연결 변수: {2}\n물리 행동: {3}\n개념: {4}\n팩트:\n{5}\n필요한 기존 데이터: {6}\n\n템플릿은 기본값만 제공합니다. 여기서 수정해도 원본 템플릿은 바뀌지 않습니다.",규칙 블록
ui.physical.base_behavior,기본 물리 행동,물리 행동
ui.physical.additional_effect,추가 효과,물리 행동
result.no_additional_physical_effect,더 추가할 수 있는 호환 효과가 없습니다.,물리 행동
physical_effect.WindDrift,바람에 밀림,물리 효과
physical_effect.WaveRocking,파도에 흔들림,물리 효과
relation.has_physical_effect,추가 물리 효과,물리 효과 관계
relation.active_physical_effect,활성 물리 효과,추론된 물리 효과 관계
relation.compatible_with,호환 대상,호환 관계
fact.has_physical_effect,{0}에 {1} 추가 물리 효과가 설정되어 있습니다.,사용자용 팩트
fact.active_physical_effect,{0}에 현재 {1} 효과가 적용되고 있습니다.,사용자용 추론 팩트
fact.compatible_with,{0}은(는) {1}과(와) 호환됩니다.,사용자용 호환 팩트
concept.PhysicalEffect,물리 효과,물리 효과 컨셉
rule.ActivateWindDriftEffect,호환되는 바람 효과 활성화,물리 효과 규칙
rule.ActivateWaveRockingEffect,호환되는 파도 효과 활성화,물리 효과 규칙
rule_description.ActivateWindDriftEffect,바람 효과와 호환되는 오브젝트가 바람에 밀립니다.,물리 효과 규칙
rule_description.ActivateWaveRockingEffect,파도 효과와 호환되는 오브젝트가 물에서 흔들립니다.,물리 효과 규칙
ui.title.ontology_editor,온톨로지 편집기,월드 온톨로지 편집기 제목
ui.tab.triples,트리플,팩트 편집 탭
ui.tab.rule_blocks,규칙 블록,규칙 블록 탭
ui.tab.physics,물리,물리 프로필 탭
ui.tab.results,결과,사용자용 추론 결과 탭
ui.button.add_triple,+ 트리플 추가,트리플 추가
ui.button.add_rule_block,+ 규칙 블록 추가,규칙 블록 추가
ui.button.save_world,월드 저장,스냅샷 저장
ui.button.load_world,월드 불러오기,스냅샷 불러오기
ui.subtitle.selected_object,선택한 오브젝트,선택한 오브젝트 부제
ui.subtitle.no_selection,배치된 오브젝트를 선택하세요,선택 없음 부제
ui.footer.triples,주어는 고정되어 있습니다. 관계와 값을 수정하세요.,트리플 편집 도움말
ui.footer.rule_blocks,규칙 블록은 이 오브젝트에 데이터베이스 규칙을 활성화합니다.,규칙 블록 도움말
ui.footer.physics,이 오브젝트가 어떻게 움직일지 쉬운 문장으로 선택하세요.,물리 도움말
ui.footer.results,현재 정보와 그 정보를 만든 규칙을 보여줍니다.,결과 도움말
ui.status.saved,월드를 저장했습니다.,저장 성공
ui.status.loaded,월드를 불러왔습니다.,불러오기 성공
ui.status.save_failed,저장 실패: 저장 컨트롤러를 찾지 못했습니다.,저장 실패
ui.status.load_failed,불러오기 실패: 저장 컨트롤러를 찾지 못했습니다.,불러오기 실패
ui.dropdown.choose,선택...,드롭다운 안내
result.world_unavailable,온톨로지 월드가 아직 준비되지 않았습니다.,월드 없음
result.not_run,아직 규칙을 계산하지 않았습니다.,추론 전
result.stable,모든 규칙 적용이 완료되었습니다.,안정된 추론
result.iteration_limit,규칙 계산이 반복 제한에서 중단되었습니다.,반복 제한
result.summary,"계산 단계: {0} · 새 정보: {1}개 · 변경된 정보: {2}개",추론 요약
result.current_information,현재 이 오브젝트의 정보,현재 팩트 제목
result.origin.authored,작성 데이터,작성된 팩트 출처
result.origin.inferred,추론 데이터,추론된 팩트 출처
result.origin.observed,관측 데이터,관측된 팩트 출처
result.applied_rule,적용된 규칙 · {0}단계,적용 규칙 제목
result.added,추가됨,추가 팩트 표시
result.removed,삭제됨,삭제 팩트 표시
result.changed,변경됨,변경 팩트 표시
result.no_rule_block,연결된 규칙 블록이 없습니다. 규칙을 사용하려면 규칙 블록을 추가하세요.,규칙 블록 없음
result.no_rules,규칙 데이터베이스에 사용할 수 있는 규칙이 없습니다.,규칙 없음
result.no_buoyancy_profile,등록된 부력 프로필이 없습니다.,부력 프로필 없음
result.buoyancy_disabled,이 오브젝트에는 현재 부력이 없습니다.,부력 없음
result.base_physical_profile,기본 물리 프로필: {0}. 중력이 적용됩니다.,기본 프로필
result.active_physical_profile,활성 물리 프로필: {0}. 이 설정은 온톨로지 데이터로 저장됩니다.,활성 프로필
validation.value_required,값을 입력하세요.,값 없음
validation.number_required,올바른 숫자를 입력하세요.,숫자 오류
validation.boolean_required,참 또는 거짓을 선택하세요.,불리언 오류
validation.ambiguous_term,여러 온톨로지 용어와 일치합니다. 하나를 선택하세요.,모호한 별칭
validation.unknown_localized_term,등록되지 않은 단어입니다. OntologyAliases.csv에 추가하거나 새 Canonical 용어를 만드세요.,미등록 현지어
validation.invalid_identifier,올바른 온톨로지 식별자를 입력하세요.,식별자 오류
validation.blocked,저장 불가: {0},저장 차단
validation.warning,주의: {0} 저장하려면 OK를 한 번 더 누르세요.,경고 확인
relation.has_concept,종류,컨셉 분류
relation.located_in,위치,위치 관계
relation.has_element,원소,원소 관계
relation.has_state,상태,상태 관계
relation.related_to,관련 대상,일반 관계
relation.water_depth,물 깊이,수심
relation.occupies,들어가 있음,점유
relation.state,상태,상태
relation.movement_mode,이동 방식,이동 방식
relation.physical_profile,물리 프로필,물리 프로필
relation.attachment_profile,장착 프로필,장착 프로필
relation.pickup_behavior,상호작용,획득 방식
relation.has_slot,장착 위치,장착 슬롯
relation.supports_behavior,지원 동작,지원 동작
relation.mobility_mode,움직임 성질,이동성
relation.has_material,재질,재질
relation.density_class,밀도,밀도
relation.supported_by,받치는 대상,지지 대상
relation.resting_on,놓인 대상,놓인 대상
relation.has_capability,능력,능력
relation.grants_capability,제공 능력,제공 능력
relation.grants_skill,제공 스킬,제공 스킬
relation.skill_grant_requires_rule,스킬 부여 필요 규칙,규칙 블록
relation.has_skill,스킬,스킬
relation.has_temporary_skill,임시 스킬,임시 스킬
relation.can_use_skill,사용 가능 스킬,사용 가능 스킬
relation.equipped_by,장착한 대상,장착 소유자
relation.carried_by,운반하는 대상,운반 소유자
relation.has_rule_block,규칙 블록,규칙 블록 팩트
concept.Actor,행동 주체,Actor 컨셉
concept.Agent,에이전트,Agent 컨셉
concept.Creature,생명체,Creature 컨셉
concept.NPC,NPC,NPC 컨셉
concept.PlayerControlled,플레이어 조종,PlayerControlled 컨셉
concept.Humanoid,인간형,Humanoid 컨셉
concept.Plant,식물,Plant 컨셉
concept.Dry,건조함,Dry 컨셉
concept.Fire,불,Fire 컨셉
concept.Rock,바위,Rock 컨셉
concept.Resource,자원,Resource 컨셉
concept.Landmark,랜드마크,Landmark 컨셉
concept.TerrainTile,지형 타일,TerrainTile 컨셉
concept.WaterRegion,물 영역,WaterRegion 컨셉
concept.QuestBoard,퀘스트 게시판,QuestBoard 컨셉
concept.Relation,관계,Relation 컨셉
concept.Reputation,평판,Reputation 컨셉
concept.CharacterPart,캐릭터 파츠,CharacterPart 컨셉
concept.TerrainZone,지형 구역,TerrainZone 컨셉
concept.QuestState,퀘스트 상태,QuestState 컨셉
concept.FloatableObject,물에 뜨는 오브젝트,FloatableObject 컨셉
concept.Wearable,착용 가능,Wearable 컨셉
concept.Carryable,운반 가능,Carryable 컨셉
concept.Mountable,탑승 가능,Mountable 컨셉
concept.FlotationDevice,부력 장비,FlotationDevice 컨셉
state.Deep,깊음,깊은 물 상태
state.Shallow,얕음,얕은 물 상태
state.Unknown,알 수 없음,물 깊이를 아직 관측하지 못했습니다
state.Swimming,수영 중,수영 상태
state.Wading,얕은 물 걷기,얕은 물 상태
state.Floating,떠 있음,부유 상태
state.Dynamic,움직임,동적 상태
state.Anchored,고정됨,고정 상태
state.Light,가벼움,가벼운 밀도
state.Heavy,무거움,무거운 밀도
value.Water,물,물 원소
value.Stone,돌,돌 재질
value.Polymer,폴리머,폴리머 재질
value.Vegetation,식물성 재질,식물성 재질
value.Wood,나무 재질,나무 재질
value.WaterFloat,물에 뜨기,수상 부력 스킬
value.SelectThenEquip,선택 후 착용,착용 상호작용
value.SelectThenCarry,선택 후 운반,운반 상호작용
value.SelectThenMount,선택 후 탑승,탑승 상호작용
object.stone_1,돌 1,배치 오브젝트 이름
object.stone_2,돌 2,배치 오브젝트 이름
object.stone_3,돌 3,배치 오브젝트 이름
object.grass_1,풀 묶음 1,배치 오브젝트 이름
object.grass_2,풀 묶음 2,배치 오브젝트 이름
object.landmark_cluster,랜드마크 숲,배치 오브젝트 이름
object.inflatable_ring,튜브,배치 오브젝트 이름
fact.has_concept,{0}의 종류는 {1}입니다.,사용자용 팩트
fact.located_in,{0}의 위치는 {1}입니다.,사용자용 팩트
fact.has_state,{0}의 현재 상태는 {1}입니다.,사용자용 팩트
fact.state,{0}의 현재 상태는 {1}입니다.,사용자용 팩트
fact.movement_mode,{0}의 이동 방식은 {1}입니다.,사용자용 팩트
fact.occupies,{0}이(가) {1} 안에 있습니다.,사용자용 팩트
fact.physical_profile,{0}에 {1} 물리 프로필이 적용되어 있습니다.,사용자용 팩트
fact.attachment_profile,{0}에 {1} 장착 프로필이 적용되어 있습니다.,사용자용 팩트
fact.has_material,{0}의 재질은 {1}입니다.,사용자용 팩트
fact.supported_by,{0}을(를) {1}이(가) 받치고 있습니다.,사용자용 팩트
fact.resting_on,{0}이(가) {1} 위에 놓여 있습니다.,사용자용 팩트
fact.has_element,{0}에 {1} 원소가 있습니다.,사용자용 팩트
fact.related_to,{0}은(는) {1}과(와) 관계가 있습니다.,사용자용 팩트
fact.water_depth,{0}의 물 깊이는 {1}입니다.,사용자용 팩트
fact.pickup_behavior,{0}의 상호작용 방식은 {1}입니다.,사용자용 팩트
fact.has_slot,{0}이(가) {1} 장착 슬롯을 사용합니다.,사용자용 팩트
fact.supports_behavior,{0}이(가) {1} 동작을 지원합니다.,사용자용 팩트
fact.mobility_mode,{0}의 이동성은 {1}입니다.,사용자용 팩트
fact.density_class,{0}의 밀도는 {1}입니다.,사용자용 팩트
fact.has_capability,{0}이(가) {1} 능력을 가지고 있습니다.,사용자용 팩트
fact.grants_capability,{0}이(가) {1} 능력을 제공합니다.,사용자용 팩트
fact.grants_skill,{0}이(가) {1} 스킬을 제공합니다.,사용자용 팩트
fact.skill_grant_requires_rule,{0}이(가) 스킬을 부여하려면 {1} 규칙 블록이 필요합니다.,사용자용 팩트
fact.has_skill,{0}이(가) {1} 스킬을 가지고 있습니다.,사용자용 팩트
fact.has_temporary_skill,{0}이(가) {1} 스킬을 임시로 가지고 있습니다.,사용자용 팩트
fact.can_use_skill,{0}이(가) {1} 스킬을 사용할 수 있습니다.,사용자용 팩트
fact.equipped_by,{0}을(를) {1}이(가) 장착하고 있습니다.,사용자용 팩트
fact.carried_by,{0}을(를) {1}이(가) 운반하고 있습니다.,사용자용 팩트
fact.has_rule_block,{0}에 {1} 규칙 블록이 있습니다.,사용자용 팩트
ui.status.no_operation_result,작업 결과가 반환되지 않았습니다.,작업 결과 없음
common.none,없음,빈 값
variable.actor,행동 주체,규칙 변수
variable.target,대상,규칙 변수
variable.tool,도구,규칙 변수
variable.item,아이템,규칙 변수
variable.object,오브젝트,규칙 변수
variable.water,물 영역,규칙 변수
variable.support,받침 오브젝트,규칙 변수
placement.ui.categories,카테고리,배치 UI
placement.ui.world_title,월드 배치,배치 UI
placement.ui.mode.object,오브젝트,배치 모드
placement.ui.mode.npc,NPC,배치 모드
placement.ui.mode.monster,몬스터,배치 모드
placement.ui.ontology_data,온톨로지 데이터,배치 온톨로지 요약
placement.ui.definition_id,정의 ID,배치 온톨로지 요약
placement.ui.concepts,개념,배치 온톨로지 요약
placement.ui.placement_surface,배치 표면,배치 온톨로지 요약
placement.ui.rule_blocks,규칙 블록,배치 온톨로지 요약
placement.ui.select,배치,배치 UI
placement.ui.close,닫기,배치 UI
placement.empty.title,오브젝트 없음,빈 배치 목록
placement.empty.object.title,오브젝트 항목 없음,빈 배치 목록
placement.empty.npc.title,NPC 항목 없음,빈 배치 목록
placement.empty.monster.title,몬스터 항목 없음,빈 배치 목록
placement.empty.object.description,이 카테고리에 배치 가능한 오브젝트가 없습니다.,빈 배치 목록
placement.empty.npc.description,이 카테고리에 배치 가능한 NPC가 없습니다.,빈 배치 목록
placement.empty.monster.description,이 카테고리에 배치 가능한 몬스터가 없습니다.,빈 배치 목록
placement.empty.description,이 카테고리에 배치 가능한 오브젝트가 없습니다.,빈 배치 목록
placement.status.choose,오브젝트를 선택하세요.,배치 상태
placement.status.invalid_prefab,이 목록에는 사용할 수 있는 프리팹이 없습니다.,배치 상태
placement.status.instructions,설치할 바닥으로 마우스를 옮긴 뒤 왼쪽 버튼을 누르세요. Q/E 회전 · Esc 취소,배치 상태
placement.status.ready,설치 가능: 왼쪽 버튼으로 설치 · Q/E 회전 · Esc 취소,배치 상태
placement.status.placed,{0} 배치를 완료하고 온톨로지 데이터를 주입했습니다.,배치 상태
placement.validation.too_far,너무 멉니다. 캐릭터를 가까이 이동하세요.,배치 검증
placement.validation.too_steep,경사가 너무 가파릅니다.,배치 검증
placement.validation.unmarked_surface,아직 배치 가능한 표면으로 지정되지 않았습니다.,배치 검증
placement.validation.wrong_surface,이 오브젝트는 해당 표면에 배치할 수 없습니다.,배치 검증
placement.validation.too_close,다른 오브젝트와 너무 가깝습니다.,배치 검증
category.Nature,자연물,배치 카테고리
category.Landmark,랜드마크,배치 카테고리
category.Water,물,배치 카테고리
category.Other,기타,배치 카테고리
world_edit.status.inactive,오브젝트 가까이에서 Tab을 눌러 선택하세요.,월드 편집 상태
world_edit.status.finish_placement,먼저 오브젝트 배치를 완료하거나 취소하세요.,월드 편집 상태
world_edit.status.no_nearby_object,가까이에 편집할 수 있는 오브젝트가 없습니다.,월드 편집 상태
world_edit.status.moving,마우스로 위치를 정하세요. 왼쪽 버튼 확정 · 오른쪽 버튼 또는 Esc 취소,월드 편집 상태
world_edit.status.selected,선택됨: {0},월드 편집 상태
world_edit.summary.no_selection,선택한 오브젝트가 없습니다.,월드 편집 요약
world_edit.summary.no_ontology,연결된 온톨로지 데이터가 없습니다.,월드 편집 요약
world_edit.summary.id,아이디,월드 편집 요약
world_edit.summary.concepts,컨셉,월드 편집 요약
world_edit.summary.facts,팩트,월드 편집 요약
character.ui.title,캐릭터 파츠,캐릭터 꾸미기
character.ui.section.style,스타일,캐릭터 꾸미기
character.ui.section.parts,파츠 선택,캐릭터 꾸미기
character.ui.section.selected,선택한 외형,캐릭터 꾸미기
character.ui.live_preview,실시간 캐릭터 미리보기,캐릭터 꾸미기
character.ui.toggle_hint,C 키로 캐릭터 꾸미기,캐릭터 꾸미기
character.ui.select_part,파츠를 선택하세요,캐릭터 꾸미기
character.ui.select_part_description,카테고리와 파츠를 선택해 온톨로지 효과를 확인하세요.,캐릭터 꾸미기
character.ui.no_icon,아이콘 없음,캐릭터 꾸미기
character.ui.category,카테고리,캐릭터 꾸미기
character.ui.part,파츠,캐릭터 꾸미기
character.ui.slot,장착 위치,캐릭터 꾸미기
character.ui.unknown_slot,알 수 없는 슬롯,캐릭터 꾸미기
character.ui.equip,장착,캐릭터 꾸미기
character.ui.unequip,해제,캐릭터 꾸미기
character.ui.equipped,장착됨,캐릭터 꾸미기
character.ui.ontology_facts,온톨로지 팩트,캐릭터 꾸미기
character.ui.badge.on,사용 중,캐릭터 꾸미기
character.ui.badge.capability,능력,캐릭터 꾸미기
character.ui.badge.conflict,충돌,캐릭터 꾸미기
character.status.missing_data,캐릭터 꾸미기 데이터가 없습니다.,캐릭터 상태
character.status.select_valid_part,사용할 파츠를 먼저 선택하세요.,캐릭터 상태
character.status.equip_failed,장착 실패: {0} ({1}),캐릭터 상태
character.status.unequip_failed,해제 실패: {0} ({1}),캐릭터 상태
character.status.equipped,장착함: {0},캐릭터 상태
character.status.unequipped,해제함: {0},캐릭터 상태
character.detail.category,카테고리,캐릭터 상세
character.detail.status,상태,캐릭터 상세
character.detail.effects_will_unequip,효과: 다음 파츠 해제 ,캐릭터 상세
character.detail.grants,제공 능력,캐릭터 상세
character.preview.no_adapter,실행 어댑터가 없습니다.,캐릭터 미리보기
character.preview.already_equipped,이미 장착되어 있습니다.,캐릭터 미리보기
character.preview.will_replace,{0} 파츠를 교체합니다.,캐릭터 미리보기
character.preview.available,장착할 수 있습니다.,캐릭터 미리보기
character.failure.definition_missing,파츠 정의가 없습니다,캐릭터 오류
character.failure.renderer_missing,렌더러가 없습니다,캐릭터 오류
character.failure.world_missing,온톨로지 월드가 준비되지 않았습니다,캐릭터 오류
character.failure.already_equipped,이미 장착되어 있습니다,캐릭터 오류
character.failure.already_unequipped,이미 해제되어 있습니다,캐릭터 오류
character.failure.required_part,필수 파츠는 해제할 수 없습니다,캐릭터 오류
character.failure.unknown,알 수 없는 이유,캐릭터 오류
object.stone_1.description,POLY STYLE 돌입니다.,배치 설명
object.stone_2.description,POLY STYLE 돌입니다.,배치 설명
object.stone_3.description,POLY STYLE 돌입니다.,배치 설명
object.grass_1.description,POLY STYLE 식생 묶음입니다.,배치 설명
object.grass_2.description,POLY STYLE 식생 묶음입니다.,배치 설명
object.landmark_cluster.description,POLY STYLE 환경 랜드마크입니다.,배치 설명
object.inflatable_ring.description,온톨로지 데이터로 설정된 가벼운 튜브입니다.,배치 설명
relation.animation_intent,애니메이션 의도,관계
relation.attachment_kind,장착 종류,관계
relation.attacks,공격 대상,관계
relation.attacks_with,공격 도구,관계
relation.carried_item,운반 아이템,관계
relation.cold_damage_tick,추위 피해 시점,관계
relation.combined,결합 대상,관계
relation.completed_quest,완료한 퀘스트,관계
relation.core_vitality,핵심 생명력,관계
relation.current_tick,현재 틱,관계
relation.emits,방출 요소,관계
relation.equipped,장착 아이템,관계
relation.equipped_item,장착 아이템,관계
relation.equipped_part,장착 파츠,관계
relation.exposed_to,노출 환경,관계
relation.fears,두려워함,관계
relation.has_item,보유 아이템,관계
relation.helps,도움을 줌,관계
relation.immersion_depth,잠긴 깊이,관계
relation.incompatible_with,함께 사용 불가,관계
relation.inspects,조사 대상,관계
relation.intent,의도,관계
relation.interaction_intent,상호작용 의도,관계
relation.mood,기분,관계
relation.mounted_actor,탑승한 주체,관계
relation.mounted_in,탑승 위치,관계
relation.movement_state,이동 상태,관계
relation.near,가까운 대상,관계
relation.offers,제공 항목,관계
relation.physical_state,물리 상태,관계
